Date,Site,Season,Set Number,Species,SpeciesName,FunctionalGroup,Total_Length (mm),SampleTube,Photo #,DevelopmentStage,Comments
17-May-23,Taylor Head,Spring,2,Juvenile gadid,Gadidae,BonyFish,32,TH9,,Juvenile,Mort
17-May-23,Taylor Head,Spring,2,Juvenile gadid,Gadidae,BonyFish,37,TH10,,Juvenile,Mort
17-May-23,Taylor Head,Spring,2,Juvenile gadid,Gadidae,BonyFish,34,TH11,,Juvenile,Mort
17-May-23,Taylor Head,Spring,2,Juvenile gadid,Gadidae,BonyFish,31,TH12,,Juvenile,Mort
17-May-23,Taylor Head,Spring,2,Juvenile gadid,Gadidae,BonyFish,36,TH13,,Juvenile,Mort
17-May-23,Taylor Head,Spring,2,Juvenile gadid,Gadidae,BonyFish,38,TH14,,Juvenile,Mort
17-May-23,Taylor Head,Spring,2,Juvenile gadid,Gadidae,BonyFish,27,TH15,,Juvenile,Mort
17-May-23,Taylor Head,Spring,2,Juvenile gadid,Gadidae,BonyFish,36,TH16,,Juvenile,Mort
17-May-23,Taylor Head,Spring,2,Juvenile gadid,Gadidae,BonyFish,50,TH17,,Juvenile,
17-May-23,Taylor Head,Spring,2,Juvenile gadid,Gadidae,BonyFish,37,TH18,,Juvenile,
17-May-23,Taylor Head,Spring,2,Juvenile gadid,Gadidae,BonyFish,28,TH19,,Juvenile,
17-May-23,Taylor Head,Spring,2,Juvenile gadid,Gadidae,BonyFish,26,TH20,,Juvenile,
17-May-23,Taylor Head,Spring,2,Juvenile gadid,Gadidae,BonyFish,30,TH21,,Juvenile,
17-May-23,Taylor Head,Spring,2,Juvenile gadid,Gadidae,BonyFish,32,TH22,,Juvenile,
17-May-23,Taylor Head,Spring,2,Juvenile gadid,Gadidae,BonyFish,38,TH23,,Juvenile,
17-May-23,Taylor Head,Spring,2,Juvenile gadid,Gadidae,BonyFish,31,TH24,,Juvenile,
17-May-23,Taylor Head,Spring,2,American Eel,Anguilla rostrata,BonyFish,NA,NA,R:\Science\CESD\HES_MPAGroup\Data\Field Photos\2023 Seining\Spring\TaylorHead\IMG_0890.JPG,Juvenile,"Alive but not moving much, released. Glass eel stage"
17-May-23,Taylor Head,Spring,2,Juvenile gadid,Gadidae,BonyFish,48,TH25,,Juvenile,
17-May-23,Taylor Head,Spring,2,Juvenile gadid,Gadidae,BonyFish,42,TH26,,Juvenile,
17-May-23,Taylor Head,Spring,2,Juvenile gadid,Gadidae,BonyFish,52,TH27,,Juvenile,
17-May-23,Taylor Head,Spring,2,Juvenile gadid,Gadidae,BonyFish,45,TH28,,Juvenile,
17-May-23,Taylor Head,Spring,2,Juvenile gadid,Gadidae,BonyFish,41,TH29,,Juvenile,
17-May-23,Taylor Head,Spring,2,Juvenile gadid,Gadidae,BonyFish,35,TH30,,Juvenile,
17-May-23,Taylor Head,Spring,2,Juvenile gadid,Gadidae,BonyFish,40,TH31,,Juvenile,
17-May-23,Taylor Head,Spring,2,Juvenile gadid,Gadidae,BonyFish,33,TH32,,Juvenile,
17-May-23,Taylor Head,Spring,2,Juvenile gadid,Gadidae,BonyFish,31,TH33,,Juvenile,
17-May-23,Taylor Head,Spring,2,Juvenile gadid,Gadidae,BonyFish,34,TH34,,Juvenile,
17-May-23,Taylor Head,Spring,2,Juvenile gadid,Gadidae,BonyFish,33,TH35,,Juvenile,
17-May-23,Taylor Head,Spring,2,Juvenile gadid,Gadidae,BonyFish,45,TH36,,Juvenile,
17-May-23,Taylor Head,Spring,2,Juvenile gadid,Gadidae,BonyFish,42,TH37,,Juvenile,
17-May-23,Taylor Head,Spring,2,Juvenile gadid,Gadidae,BonyFish,33,TH38,,Juvenile,
12-Jul-23,Taylor Head,Summer,1,Northern Pipefish,Syngnathus fuscus,BonyFish,132,NA,,Mature,"In haul 1, lots of sand shrimp, green crab, mysids, Littorina, Lacuna vincta"
12-Jul-23,Taylor Head,Summer,1,Northern Pipefish,Syngnathus fuscus,BonyFish,125,NA,,Mature,
12-Jul-23,Taylor Head,Summer,1,Sculpin,Cottoidei,BonyFish,72,TH39,,Unknown,
12-Jul-23,Taylor Head,Summer,1,Tomcod,Microgadus tomcod,BonyFish,77,TH40,,Unknown,
12-Jul-23,Taylor Head,Summer,1,Tomcod,Microgadus tomcod,BonyFish,75,TH41,,Unknown,
12-Jul-23,Taylor Head,Summer,1,Tomcod,Microgadus tomcod,BonyFish,70,TH42,,Unknown,
12-Jul-23,Taylor Head,Summer,1,Cunner,Tautogolabrus adspersus,BonyFish,50,TH43,,Unknown,
12-Jul-23,Taylor Head,Summer,1,Cunner,Tautogolabrus adspersus,BonyFish,52,TH44,,Unknown,
12-Jul-23,Taylor Head,Summer,1,Cunner,Tautogolabrus adspersus,BonyFish,42,NA,,Unknown,
12-Jul-23,Taylor Head,Summer,1,Cunner,Tautogolabrus adspersus,BonyFish,61,TH45,,Unknown,
12-Jul-23,Taylor Head,Summer,1,Cunner,Tautogolabrus adspersus,BonyFish,40,TH46,,Unknown,
12-Jul-23,Taylor Head,Summer,1,Cunner,Tautogolabrus adspersus,BonyFish,45,TH47,,Unknown,
12-Jul-23,Taylor Head,Summer,1,Mysid,Mysida,Crustaceans,NA,TH48,,Unknown,
12-Jul-23,Taylor Head,Summer,1,Crangonidae,Crangonyx sp.,Crustaceans,NA,TH49,,Unknown,
12-Jul-23,Taylor Head,Summer,1,Crangonidae,Crangonyx sp.,Crustaceans,NA,TH50,,Unknown,
12-Jul-23,Taylor Head,Summer,1,Cunner,Tautogolabrus adspersus,BonyFish,61,TH51,,Unknown,
12-Jul-23,Taylor Head,Summer,1,Mysid,Mysida,Crustaceans,NA,TH52,,Unknown,
12-Jul-23,Taylor Head,Summer,1,Cunner,Tautogolabrus adspersus,BonyFish,47,TH53,,Unknown,
12-Jul-23,Taylor Head,Summer,1,Cunner,Tautogolabrus adspersus,BonyFish,62,TH54,,Unknown,"Some confusion in notebooks which says Tubes 50-54=Mysids, Tubes 55-56=isopods"
12-Jul-23,Taylor Head,Summer,1,Mysid,Mysida,Crustaceans,NA,TH55,,Unknown,
12-Jul-23,Taylor Head,Summer,1,Cunner,Tautogolabrus adspersus,BonyFish,50,NA,,Unknown,
12-Jul-23,Taylor Head,Summer,1,Mysid,Mysida,Crustaceans,NA,TH63,,Unknown,
12-Jul-23,Taylor Head,Summer,1,Cunner,Tautogolabrus adspersus,BonyFish,40,TH64,,Unknown,
12-Jul-23,Taylor Head,Summer,1,Crangonidae,Crangonyx sp.,Crustaceans,NA,TH65,,Unknown,
12-Jul-23,Taylor Head,Summer,1,Cunner,Tautogolabrus adspersus,BonyFish,49,TH66,,Unknown,
12-Jul-23,Taylor Head,Summer,1,Cunner,Tautogolabrus adspersus,BonyFish,56,TH67,,Unknown,
12-Jul-23,Taylor Head,Summer,1,Cunner,Tautogolabrus adspersus,BonyFish,50,TH68,,Unknown,
12-Jul-23,Taylor Head,Summer,1,Crangonidae,Crangonyx sp.,Crustaceans,NA,TH69,,Unknown,
12-Jul-23,Taylor Head,Summer,1,Cunner,Tautogolabrus adspersus,BonyFish,40,TH70,,Unknown,
12-Jul-23,Taylor Head,Summer,1,Cunner,Tautogolabrus adspersus,BonyFish,49,TH71,,Unknown,
12-Jul-23,Taylor Head,Summer,1,Tomcod,Tautogolabrus adspersus,BonyFish,46,TH72,,Unknown,
12-Jul-23,Taylor Head,Summer,1,Sculpin,Cottoidei,BonyFish,62,TH73,,Unknown,
12-Jul-23,Taylor Head,Summer,2,Northern Pipefish,Syngnathus fuscus,BonyFish,145,TH74,,Unknown,
12-Jul-23,Taylor Head,Summer,2,Sculpin,Cottoidei,BonyFish,23,TH75,,Unknown,
12-Jul-23,Taylor Head,Summer,2,Isopod,Idotea balthica,Crustaceans,NA,TH76,,Unknown,
12-Jul-23,Taylor Head,Summer,2,Mysid,Mysida,Crustaceans,NA,TH77,,Unknown,
12-Jul-23,Taylor Head,Summer,2,Cunner,Tautogolabrus adspersus,BonyFish,50,TH78,,Unknown,
12-Jul-23,Taylor Head,Summer,2,Cunner,Tautogolabrus adspersus,BonyFish,47,TH79,,Unknown,
12-Jul-23,Taylor Head,Summer,2,Cunner,Tautogolabrus adspersus,BonyFish,41,TH80,,Unknown,
12-Jul-23,Taylor Head,Summer,2,Cunner,Tautogolabrus adspersus,BonyFish,48,NA,,Unknown,
12-Jul-23,Taylor Head,Summer,2,Cunner,Tautogolabrus adspersus,BonyFish,65,TH82,,Unknown,
12-Jul-23,Taylor Head,Summer,2,Mysid,Mysida,Crustaceans,NA,TH81,,Unknown,
12-Jul-23,Taylor Head,Summer,2,Cunner,Tautogolabrus adspersus,BonyFish,55,TH83,,Unknown,
12-Jul-23,Taylor Head,Summer,2,Cunner,Tautogolabrus adspersus,BonyFish,43,TH84,,Unknown,
12-Jul-23,Taylor Head,Summer,2,Cunner,Tautogolabrus adspersus,BonyFish,52,TH85,,Unknown,
12-Jul-23,Taylor Head,Summer,2,Cunner,Tautogolabrus adspersus,BonyFish,46,TH86,,Unknown,
12-Jul-23,Taylor Head,Summer,2,Cunner,Tautogolabrus adspersus,BonyFish,62,TH87,,Unknown,
12-Jul-23,Taylor Head,Summer,2,Cunner,Tautogolabrus adspersus,BonyFish,49,TH88,,Unknown,
12-Jul-23,Taylor Head,Summer,2,Cunner,Tautogolabrus adspersus,BonyFish,52,TH89,,Unknown,
12-Jul-23,Taylor Head,Summer,2,Cunner,Tautogolabrus adspersus,BonyFish,47,TH90,,Unknown,
12-Jul-23,Taylor Head,Summer,2,Cunner,Tautogolabrus adspersus,BonyFish,50,TH91,,Unknown,
12-Jul-23,Taylor Head,Summer,2,Cunner,Tautogolabrus adspersus,BonyFish,55,TH92,,Unknown,
12-Jul-23,Taylor Head,Summer,2,Cunner,Tautogolabrus adspersus,BonyFish,55,TH93,,Unknown,
12-Jul-23,Taylor Head,Summer,2,Cunner,Tautogolabrus adspersus,BonyFish,47,TH94,,Unknown,
12-Jul-23,Taylor Head,Summer,2,Cunner,Tautogolabrus adspersus,BonyFish,45,TH95,,Unknown,
12-Jul-23,Taylor Head,Summer,2,Cunner,Tautogolabrus adspersus,BonyFish,52,TH96,,Unknown,
12-Jul-23,Taylor Head,Summer,2,Cunner,Tautogolabrus adspersus,BonyFish,52,TH97,,Unknown,
12-Jul-23,Taylor Head,Summer,2,Cunner,Tautogolabrus adspersus,BonyFish,51,TH98,,Unknown,
12-Jul-23,Taylor Head,Summer,2,Cunner,Tautogolabrus adspersus,BonyFish,41,TH99,,Unknown,
12-Jul-23,Taylor Head,Summer,2,Cunner,Tautogolabrus adspersus,BonyFish,43,TH100,,Unknown,
12-Jul-23,Taylor Head,Summer,2,Gunnel ,Pholis sp.,BonyFish,101,TH101,,Unknown,
12-Jul-23,Taylor Head,Summer,2,Crangonidae,Crangonyx sp.,Crustaceans,NA,TH102-108,,Unknown,
13-Jul-23,Conrod,Summer,1,Sculpin,Cottoidei,BonyFish,30,132,Tubes 109-130 all sand shrimp,Unknown,
13-Jul-23,Conrod,Summer,1,Threespine Stickleback,Gasterosteus aculeatus,BonyFish,37,133,,Unknown,
13-Jul-23,Conrod,Summer,1,Mysid,Mysida,Crustaceans,NA,131,,Unknown,
13-Jul-23,Conrod,Summer,2,Atlantic Herring,Clupea harengus,BonyFish,70,134,,Unknown,
13-Jul-23,Conrod,Summer,2,Atlantic Herring,Clupea harengus,BonyFish,67,135,,Unknown,
13-Jul-23,Conrod,Summer,2,Atlantic Herring,Clupea harengus,BonyFish,70,136,,Unknown,
13-Jul-23,Conrod,Summer,2,Atlantic Herring,Clupea harengus,BonyFish,69,137,,Unknown,
13-Jul-23,Conrod,Summer,2,Atlantic Herring,Clupea harengus,BonyFish,70,138,,Unknown,
13-Jul-23,Conrod,Summer,2,Atlantic Herring,Clupea harengus,BonyFish,71,139,,Unknown,
13-Jul-23,Conrod,Summer,2,Atlantic Herring,Clupea harengus,BonyFish,73,140,,Unknown,
13-Jul-23,Conrod,Summer,2,Atlantic Herring,Clupea harengus,BonyFish,78,141,,Unknown,
13-Jul-23,Conrod,Summer,2,Atlantic Herring,Clupea harengus,BonyFish,65,142,,Unknown,
13-Jul-23,Conrod,Summer,2,Mackerel,Scomber scombrus,BonyFish,64,143,,Unknown,
13-Jul-23,Conrod,Summer,2,Atlantic Herring,Clupea harengus,BonyFish,84,144,,Unknown,
13-Jul-23,Conrod,Summer,2,Atlantic Herring,Clupea harengus,BonyFish,70,145,,Unknown,
13-Jul-23,Conrod,Summer,2,Atlantic Herring,Clupea harengus,BonyFish,72,146,,Unknown,
13-Jul-23,Conrod,Summer,2,Atlantic Herring,Clupea harengus,BonyFish,65,147,,Unknown,
13-Jul-23,Conrod,Summer,2,Atlantic Herring,Clupea harengus,BonyFish,62,148,,Unknown,
13-Jul-23,Conrod,Summer,2,Atlantic Herring,Clupea harengus,BonyFish,66,149,,Unknown,
13-Jul-23,Conrod,Summer,2,Mackerel,Scomber scombrus,BonyFish,57,150,,Unknown,ID unsure
13-Jul-23,Conrod,Summer,2,Atlantic Herring,Clupea harengus,BonyFish,75,151,,Unknown,
13-Jul-23,Conrod,Summer,2,Atlantic Herring,Clupea harengus,BonyFish,67,152,,Unknown,
13-Jul-23,Conrod,Summer,2,Atlantic Herring,Clupea harengus,BonyFish,63,153,,Unknown,
13-Jul-23,Conrod,Summer,2,Atlantic Herring,Clupea harengus,BonyFish,65,154,,Unknown,
13-Jul-23,Conrod,Summer,2,Tomcod,Microgadus tomcod,BonyFish,62,155,,Unknown,
13-Jul-23,Conrod,Summer,2,Tomcod,Microgadus tomcod,BonyFish,88,156,,Unknown,
13-Jul-23,Conrod,Summer,2,Tomcod,Microgadus tomcod,BonyFish,97,157,,Unknown,
13-Jul-23,Conrod,Summer,2,Tomcod,Microgadus tomcod,BonyFish,87,158,,Unknown,
13-Jul-23,Conrod,Summer,2,Tomcod,Microgadus tomcod,BonyFish,95,159,,Unknown,
13-Jul-23,Conrod,Summer,2,Gunnel ,Pholis sp.,BonyFish,140,160,,Unknown,
13-Jul-23,Conrod,Summer,2,Threespine Stickleback,Gasterosteus aculeatus,BonyFish,29,161,,Unknown,
13-Jul-23,Conrod,Summer,2,Crangonidae,Crangonyx sp.,Crustaceans,NA,162,,Unknown,
13-Jul-23,Conrod,Summer,2,Crangonidae,Crangonyx sp.,Crustaceans,NA,163,,Unknown,
13-Jul-23,Conrod,Summer,2,Crangonidae,Crangonyx sp.,Crustaceans,NA,164,,Unknown,
13-Jul-23,Conrod,Summer,2,Crangonidae,Crangonyx sp.,Crustaceans,NA,165,,Unknown,
13-Jul-23,Conrod,Summer,2,Isopod,Idotea balthica,Crustaceans,NA,166,,Unknown,
13-Jul-23,Conrod,Summer,2,Crangonidae,Crangonyx sp.,Crustaceans,NA,167,,Unknown,
13-Jul-23,Conrod,Summer,2,Isopod,Idotea balthica,Crustaceans,NA,168,,Unknown,
13-Jul-23,Conrod,Summer,2,Crangonidae,Crangonyx sp.,Crustaceans,NA,169,,Unknown,
13-Jul-23,Conrod,Summer,2,Isopod,Idotea balthica,Crustaceans,NA,170,,Unknown,
13-Jul-23,Conrod,Summer,2,Isopod,Idotea balthica,Crustaceans,NA,171,,Unknown,
13-Jul-23,Conrod,Summer,2,Isopod,Idotea balthica,Crustaceans,NA,172,,Unknown,
14-Jul-23,Little Harbour,Summer,1,Northern Pipefish,Syngnathus fuscus,BonyFish,204,173,,Unknown,
14-Jul-23,Little Harbour,Summer,1,Northern Pipefish,Syngnathus fuscus,BonyFish,180,174,,Unknown,
14-Jul-23,Little Harbour,Summer,1,Northern Pipefish,Syngnathus fuscus,BonyFish,183,175,,Unknown,
14-Jul-23,Little Harbour,Summer,1,Northern Pipefish,Syngnathus fuscus,BonyFish,205,176,,Unknown,
14-Jul-23,Little Harbour,Summer,1,Winter Flounder,Pseudopleuronectes americanus,BonyFish,125,177,,Unknown,
14-Jul-23,Little Harbour,Summer,1,Winter Flounder,Pseudopleuronectes americanus,BonyFish,115,178,,Unknown,
14-Jul-23,Little Harbour,Summer,1,Winter Flounder,Pseudopleuronectes americanus,BonyFish,78,179,,Unknown,
14-Jul-23,Little Harbour,Summer,1,Winter Flounder,Pseudopleuronectes americanus,BonyFish,62,180,,Unknown,
14-Jul-23,Little Harbour,Summer,1,Winter Flounder,Pseudopleuronectes americanus,BonyFish,67,181,,Unknown,
14-Jul-23,Little Harbour,Summer,1,Sculpin,Cottoidei,BonyFish,102,182,,Unknown,
14-Jul-23,Little Harbour,Summer,1,Winter Flounder,Pseudopleuronectes americanus,BonyFish,74,183,RS,Unknown,
14-Jul-23,Little Harbour,Summer,1,Winter Flounder,Pseudopleuronectes americanus,BonyFish,74,184,RS,Unknown,
14-Jul-23,Little Harbour,Summer,1,Sculpin,Cottoidei,BonyFish,36,185,,Unknown,
14-Jul-23,Little Harbour,Summer,1,Sculpin,Cottoidei,BonyFish,35,186,,Unknown,
14-Jul-23,Little Harbour,Summer,1,Crangonidae,Crangonyx sp.,Crustaceans,NA,187-217,,Unknown,
14-Jul-23,Little Harbour,Summer,1,Sculpin,Cottoidei,BonyFish,33,218,,Unknown,
14-Jul-23,Little Harbour,Summer,1,Mysid,Mysida,Crustaceans,NA,219-240,,Unknown,
14-Jul-23,Little Harbour,Summer,1,Isopod,Idotea balthica,Crustaceans,NA,241-243,,Unknown,
14-Jul-23,Little Harbour,Summer,1,Hyperiid amphipod,Hyperiidae,Crustaceans,NA,244,,Mature,Came out of beached jellyfish 
14-Jul-23,Little Harbour,Summer,2,Sculpin,Cottoidei,BonyFish,44,246,,Unknown,
14-Jul-23,Little Harbour,Summer,2,Northern Pipefish,Syngnathus fuscus,BonyFish,165,247,,Mature,
14-Jul-23,Little Harbour,Summer,2,Northern Pipefish,Syngnathus fuscus,BonyFish,142,248,,Mature,
14-Jul-23,Little Harbour,Summer,2,Northern Pipefish,Syngnathus fuscus,BonyFish,156,249,,Mature,
14-Jul-23,Little Harbour,Summer,2,Northern Pipefish,Syngnathus fuscus,BonyFish,148,250,,Mature,
14-Jul-23,Little Harbour,Summer,2,Northern Pipefish,Syngnathus fuscus,BonyFish,165,251,RS,Mature,Gravid
14-Jul-23,Little Harbour,Summer,2,Northern Pipefish,Syngnathus fuscus,BonyFish,152,252,,Mature,
14-Jul-23,Little Harbour,Summer,2,Northern Pipefish,Syngnathus fuscus,BonyFish,154,253,,Mature,Gravid
14-Jul-23,Little Harbour,Summer,2,Northern Pipefish,Syngnathus fuscus,BonyFish,182,254,,Mature,
14-Jul-23,Little Harbour,Summer,2,White Hake,Urophycis tenuis,BonyFish,78,255,R:\Science\CESD\HES_MPAGroup\Data\Field Photos\2023 Seining\Summer\IMG_1003.JPG,Unknown,
14-Jul-23,Little Harbour,Summer,2,Threespine Stickleback,Gasterosteus aculeatus,BonyFish,63,256,R:\Science\CESD\HES_MPAGroup\Data\Field Photos\2023 Seining\Summer\IMG_1004.JPG,Unknown,
14-Jul-23,Little Harbour,Summer,2,White Hake,Urophycis tenuis,BonyFish,68,257,,Unknown,
14-Jul-23,Little Harbour,Summer,2,Winter Flounder,Pseudopleuronectes americanus,BonyFish,83,258,,Unknown,
14-Jul-23,Little Harbour,Summer,2,White Hake,Urophycis tenuis,BonyFish,65,259,R:\Science\CESD\HES_MPAGroup\Data\Field Photos\2023 Seining\Summer\IMG_1005.JPG,Unknown,
14-Jul-23,Little Harbour,Summer,2,White Hake,Urophycis tenuis,BonyFish,49,260,,Unknown,
14-Jul-23,Little Harbour,Summer,2,Gunnel ,Pholis sp.,BonyFish,90,261,R:\Science\CESD\HES_MPAGroup\Data\Field Photos\2023 Seining\Summer\IMG_1006.JPG,Unknown,
14-Jul-23,Little Harbour,Summer,2,Sculpin,Cottoidei,BonyFish,24,262,,Juvenile,
14-Jul-23,Little Harbour,Summer,2,Sculpin,Cottoidei,BonyFish,30,263,,Juvenile,
14-Jul-23,Little Harbour,Summer,2,Mysid,Mysida,Crustaceans,NA,264-274,,Unknown,
17-Jul-23,Goldboro,Summer,1,Threespine Stickleback,Gasterosteus aculeatus,BonyFish,32,275,,Unknown,
17-Jul-23,Goldboro,Summer,1,Cunner,Tautogolabrus adspersus,BonyFish,46,276,,Unknown,
17-Jul-23,Goldboro,Summer,1,Cunner,Tautogolabrus adspersus,BonyFish,41,277,,Unknown,
17-Jul-23,Goldboro,Summer,1,Atlantic Herring,Clupea harengus,BonyFish,70,278,,Unknown,
17-Jul-23,Goldboro,Summer,1,Atlantic Herring,Clupea harengus,BonyFish,62,279,,Unknown,
17-Jul-23,Goldboro,Summer,1,Cunner,Tautogolabrus adspersus,BonyFish,97,280,,Unknown,
17-Jul-23,Goldboro,Summer,1,Cunner,Tautogolabrus adspersus,BonyFish,56,281,,Unknown,
17-Jul-23,Goldboro,Summer,1,Cunner,Tautogolabrus adspersus,BonyFish,43,282,,Unknown,
17-Jul-23,Goldboro,Summer,1,Cunner,Tautogolabrus adspersus,BonyFish,51,283,,Unknown,
17-Jul-23,Goldboro,Summer,1,Cunner,Tautogolabrus adspersus,BonyFish,50,284,,Unknown,
17-Jul-23,Goldboro,Summer,1,Cunner,Tautogolabrus adspersus,BonyFish,60,285,,Unknown,
17-Jul-23,Goldboro,Summer,1,Cunner,Tautogolabrus adspersus,BonyFish,41,286,,Unknown,
17-Jul-23,Goldboro,Summer,1,Sculpin,Cottoidei,BonyFish,52,287,,Unknown,
17-Jul-23,Goldboro,Summer,1,Cunner,Tautogolabrus adspersus,BonyFish,57,288,,Unknown,
17-Jul-23,Goldboro,Summer,1,Cunner,Tautogolabrus adspersus,BonyFish,50,289,,Unknown,
17-Jul-23,Goldboro,Summer,1,Cunner,Tautogolabrus adspersus,BonyFish,51,290,,Unknown,
17-Jul-23,Goldboro,Summer,1,Cunner,Tautogolabrus adspersus,BonyFish,92,291,,Unknown,
17-Jul-23,Goldboro,Summer,1,Cunner,Tautogolabrus adspersus,BonyFish,95,292,,Unknown,
17-Jul-23,Goldboro,Summer,1,Cunner,Tautogolabrus adspersus,BonyFish,58,293,,Unknown,
17-Jul-23,Goldboro,Summer,1,Sculpin,Cottoidei,BonyFish,67,294,,Unknown,
17-Jul-23,Goldboro,Summer,1,Sculpin,Cottoidei,BonyFish,62,295,,Unknown,
17-Jul-23,Goldboro,Summer,1,Cunner,Tautogolabrus adspersus,BonyFish,46,296,,Unknown,
17-Jul-23,Goldboro,Summer,1,Winter Flounder,Pseudopleuronectes americanus,BonyFish,82,297,,Unknown,
17-Jul-23,Goldboro,Summer,1,Cunner,Tautogolabrus adspersus,BonyFish,NA,298,,Unknown,"Just a head, crabs ate the rest "
17-Jul-23,Goldboro,Summer,1,Isopod,Idotea balthica,Crustaceans,NA,301,,Unknown,
17-Jul-23,Goldboro,Summer,1,Mysid,Mysida,Crustaceans,NA,302-313,,Unknown,
17-Jul-23,Goldboro,Summer,2,Atlantic Herring,Clupea harengus,BonyFish,69,314,,Unknown,
17-Jul-23,Goldboro,Summer,2,Atlantic Herring,Clupea harengus,BonyFish,60,315,,Unknown,
17-Jul-23,Goldboro,Summer,2,Atlantic Herring,Clupea harengus,BonyFish,68,316,,Unknown,
17-Jul-23,Goldboro,Summer,2,Atlantic Herring,Clupea harengus,BonyFish,80,317,,Unknown,
17-Jul-23,Goldboro,Summer,2,Atlantic Herring,Clupea harengus,BonyFish,68,318,,Unknown,
17-Jul-23,Goldboro,Summer,2,Atlantic Herring,Clupea harengus,BonyFish,66,319,,Unknown,
17-Jul-23,Goldboro,Summer,2,Atlantic Herring,Clupea harengus,BonyFish,60,320,,Unknown,
17-Jul-23,Goldboro,Summer,2,Atlantic Herring,Clupea harengus,BonyFish,68,321,,Unknown,
17-Jul-23,Goldboro,Summer,2,Atlantic Herring,Clupea harengus,BonyFish,71,322,,Unknown,
17-Jul-23,Goldboro,Summer,2,Atlantic Herring,Clupea harengus,BonyFish,61,323,,Unknown,
